"ID","group","week","overlap.to.first.week","distance.to.first.week","treatment","round"
"125YGHM",1,NA,NA,NA,"Medium Stress",3
"132YGMM",NA,NA,NA,NA,NA,NA
"303YGHM",1,NA,NA,NA,"High Stress",3
"327YYLM",2,2,0.240523652131523,2.55784348229555,"Medium Stress",3
"327YYLM",2,3,0.36053926470166,2.13109462277324,"Medium Stress",3
"327YYLM",2,4,0.114695669060653,3.60082498445136,"Medium Stress",3
"367WWNM",2,2,0.713089593043035,5.46710942279515,"Control",3
"367WWNM",2,3,0.617090881873228,5.40702860960181,"Control",3
"371YYLM",2,2,0.555671223246803,2.70281089476447,"High Stress",3
"371YYLM",2,3,0.420861604426686,3.00792325097798,"High Stress",3
"371YYLM",2,4,0.59256135382571,3.83865127698031,"High Stress",3
"385YBHM",3,2,0.727207916055204,3.44088962047409,"High Stress",3
"385YBHM",3,3,0.686766045964786,4.09893687483686,"High Stress",3
"385YBHM",3,4,0.61695682971306,4.4857250407502,"High Stress",3
"388YGLM",3,2,0.645743087938034,1.75722827467272,"Medium Stress",3
"388YGLM",3,3,0.570636582590774,1.99291726485304,"Medium Stress",3
"393YGHM",3,NA,NA,NA,"Control",3
"399YGLM",4,NA,NA,NA,"Medium Stress",3
"402YGHM",4,2,0.700017310243445,2.5747722158481,"High Stress",3
"402YGHM",4,3,0.699566560366024,3.10269361585224,"High Stress",3
"402YGHM",4,4,0.572726898183214,4.44554697299381,"High Stress",3
"403WBHM",4,2,0.653716755207873,2.52853367873892,"Control",3
"403WBHM",4,3,0.731787701363931,2.40862455178341,"Control",3
"403WBHM",4,4,0.297128231714596,4.35124355529891,"Control",3
"160YGHM",1,NA,NA,NA,"Control",1
"270YGHM",1,2,0.50929832585691,3.16180992211589,"Medium Stress",1
"270YGHM",1,3,0.197054558737229,3.17628558564721,"Medium Stress",1
"300YGHM",1,2,0.430923438221031,4.76674680434583,"High Stress",1
"300YGHM",1,3,0.507417201072061,4.52867483475021,"High Stress",1
"356WBHM",2,2,0.773612360773396,1.82459596792148,"Medium Stress",1
"356WBHM",2,3,0.737259367650021,1.78734620872,"Medium Stress",1
"360YGHM",2,2,0.858229590922841,2.14303069575275,"High Stress",1
"360YGHM",2,3,0.852899731162207,1.8754952111586,"High Stress",1
"360YGHM",2,4,0.785674283069099,1.92338233506665,"High Stress",1
"365YGHM",2,NA,NA,NA,"Control",1
"386WBHM",4,2,0.440012275331319,4.46266015315912,"Medium Stress",1
"386WBHM",4,3,0.468562934230934,5.36274700952063,"Medium Stress",1
"390WBHM",4,2,0.700427308518999,2.51006203072465,"High Stress",1
"390WBHM",4,3,0.767653271653983,2.79051289938042,"High Stress",1
"390WBHM",4,4,0.779775509805168,2.68193392665894,"High Stress",1
"396YBHM",4,2,0.240927213723938,3.37435922250225,"Control",1
"396YBHM",4,3,0.223915290025444,3.36199495817026,"Control",1
"396YBHM",4,4,0.0629838690496094,3.3594618839793,"Control",1
"397YGHM",3,2,0.306727769309395,2.0689302305417,"High Stress",1
"397YGHM",3,3,0.374257363571116,2.13062413341016,"High Stress",1
"397YGHM",3,4,0.42496553554652,2.45642489400688,"High Stress",1
"398WBHM",3,3,0.376223582320772,5.32273390485869,"Control",1
"407YGHM",3,2,0.242330889746879,3.70332852538535,"Medium Stress",1
"407YGHM",3,3,0.0295666637687306,6.50068652212167,"Medium Stress",1
"407YGHM",3,4,0.0627282004375206,5.1459765748632,"Medium Stress",1
"258YGHM",2,2,0.930769594575913,2.31900044113557,"High Stress",2
"262YGHM",2,NA,NA,NA,"Medium Stress",2
"310YGHM",2,NA,NA,NA,"Control",2
"361YGHM",3,2,0.791231184654201,2.49486364347494,"High Stress",2
"361YGHM",3,3,0.724971848800399,2.58813273535266,"High Stress",2
"361YGHM",3,4,0.707587552118274,2.66608556517482,"High Stress",2
"377WWLM",3,2,0.17173346422151,4.44793671049163,"Control",2
"377WWLM",3,3,0.120460063871931,4.23114162106539,"Control",2
"377WWLM",3,4,0.0763598440208194,4.80043072970587,"Control",2
"378YYLM",3,NA,NA,NA,"Medium Stress",2
"389WWLM",4,2,0.769925966753845,2.75073140093637,"Control",2
"389WWLM",4,3,0.660134536575216,3.27249584883862,"Control",2
"389WWLM",4,4,0.732553671372174,3.05925204800341,"Control",2
"394WBHM",4,2,0.750020765202074,3.36955088171828,"High Stress",2
"394WBHM",4,3,0.84803102583086,3.02633649542976,"High Stress",2
"394WBHM",4,4,0.661534676581937,3.22480340824915,"High Stress",2
"395WBHM",4,2,0.752362007403445,3.29372129016928,"Medium Stress",2
"395WBHM",4,3,0.810520473746228,3.60545539104741,"Medium Stress",2
"395WBHM",4,4,0.91485895000141,3.65513522752238,"Medium Stress",2
"400YGHM",1,3,0.798229924971118,3.00278248744607,"Control",2
"400YGHM",1,4,0.502427369260811,4.3524793913627,"Control",2
"404WBHM",1,2,0.803158433053128,5.52091588617105,"High Stress",2
"404WBHM",1,3,0.830933664056034,6.16899730496228,"High Stress",2
"405YBHM",1,2,0.637496047200296,2.29634071739588,"Medium Stress",2
"405YBHM",1,3,0.626816199632504,2.51853263616271,"Medium Stress",2
"405YBHM",1,4,0.703474384141962,2.07160561701278,"Medium Stress",2
